Fold,Epoch,Train Loss,Train R2,Validation Loss,Validation R2
0,0,1.0007148672559552,-0.006793223520516145,1.0027856679957525,-0.0010828259405433194
0,1,0.9944490175430022,-0.0006082673735376964,1.001923098104444,-0.00022859312388234798
0,2,0.9941586233494311,-0.00031308007230612667,1.0006510078499795,0.0009972621115799107
0,3,0.9924190736709779,0.0014561469351124234,1.000374149678177,0.0013459257558604554
0,4,0.9899010686628452,0.003948669113336911,0.9931724502399624,0.008525043392648146
0,5,0.9786706714227554,0.01521140392327891,0.9875004698827803,0.01420831672193612
0,6,0.9664780595882398,0.027481369478876694,0.9824599955788991,0.019454449975458754
0,7,0.960742793218143,0.033281961035764196,1.001202099485255,0.0009070431661789558
0,8,0.9521274965656534,0.041904041909644474,0.9967280367411945,0.005420459579142056
0,9,0.9497694134492363,0.04435729079497064,0.9820340343898064,0.020060955579485062
0,10,0.9425999104269905,0.051596347742016824,0.982577584781929,0.019566773279915517
0,11,0.9385806088889699,0.05557004917818764,0.9994783487382085,0.0028408308236395063
0,12,0.9341116438071567,0.060117758316792,0.9666611032394564,0.0353156137785533
0,13,0.9254719470608734,0.06877220883036106,0.9899519717222766,0.011894149333881998
0,14,0.9194803036095456,0.07482990754344421,0.9652638045565681,0.036579403922912035
0,15,0.9168196725904406,0.07749213319241,0.9639864668725171,0.03791405711342666
0,16,0.9161971230539914,0.07842091415550623,0.97362600811776,0.028397861388842482
0,17,0.9118562671907903,0.0824365498643379,0.9623821264600404,0.039657350931262436
0,18,0.907229169268112,0.08758523710374733,0.9744683792362148,0.027701061729263565
0,19,0.899124912412322,0.09526316791362277,0.9748307722450992,0.027239416877375633
0,20,0.8976337207328403,0.09706030968379242,0.9653230989662938,0.03667462688231893
0,21,0.8897134759678036,0.10490150035127244,0.9681677412249239,0.03369463987069021
0,22,0.8831514876992598,0.11149263902296869,0.998196094306299,0.0039818815615744185
0,23,0.8758220668965168,0.11871988967581293,0.992277727839405,0.009863741313136276
0,24,0.8720829895159217,0.12249830086276892,0.9911057793625785,0.010935886979871134
0,25,0.8674091340628619,0.12730682295760098,0.978464887522704,0.023491673661290124
